                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.79246,                0.64022,                 1.2569,                0.87069,                0.88334,                0.92624,                 0.7023,                0.92395,                0.63158,                 1.4654,              0.0095446,              0.0095446,              0.0095446
                     49,                0.80167,                0.64896,                 1.2502,                0.91335,                0.83266,                 0.9221,                0.69193,                 0.8802,                0.60598,                 1.4468,              0.0095347,              0.0095347,              0.0095347
                     50,                0.79586,                0.64226,                 1.2552,                0.90156,                0.87668,                0.92077,                0.69709,                0.87064,                0.59767,                   1.42,              0.0095248,              0.0095248,              0.0095248
                     51,                0.79163,                 0.6383,                 1.2438,                0.84433,                0.88192,                0.91151,                0.70114,                0.84531,                0.63441,                 1.4045,              0.0095149,              0.0095149,              0.0095149
                     52,                0.79329,                 0.6367,                  1.254,                0.86071,                0.87386,                0.92221,                0.69835,                0.87993,                0.60395,                 1.4292,               0.009505,               0.009505,               0.009505
                     53,                0.79146,                0.64399,                 1.2494,                0.89813,                0.89048,                0.94481,                0.72727,                0.88852,                0.55801,                 1.4255,              0.0094951,              0.0094951,              0.0094951
                     54,                0.77173,                0.61623,                 1.2379,                0.88793,                0.87185,                0.91268,                0.67662,                0.88212,                0.61866,                 1.4238,              0.0094852,              0.0094852,              0.0094852
                     55,                0.77459,                0.61892,                 1.2389,                0.91699,                0.85041,                0.91191,                0.70736,                 0.8575,                0.61577,                 1.4279,              0.0094753,              0.0094753,              0.0094753
                     56,                0.77885,                0.63042,                 1.2432,                0.88591,                0.83466,                0.91703,                 0.6842,                0.90265,                0.61391,                 1.4456,              0.0094654,              0.0094654,              0.0094654
                     57,                0.77204,                0.61079,                 1.2315,                0.90723,                0.86163,                0.93298,                0.72536,                0.83359,                0.54183,                 1.3964,              0.0094555,              0.0094555,              0.0094555
                     58,                0.77045,                0.61942,                 1.2344,                0.88688,                0.82274,                0.89158,                0.63037,                0.92313,                0.63723,                 1.4853,              0.0094456,              0.0094456,              0.0094456
                     59,                0.76497,                 0.6049,                 1.2379,                0.89012,                0.88953,                0.93163,                0.71489,                0.84532,                0.55317,                 1.3998,              0.0094357,              0.0094357,              0.0094357
                     60,                0.76243,                0.60522,                   1.23,                0.89473,                0.91077,                0.93631,                 0.7136,                0.83863,                0.55146,                 1.3827,              0.0094258,              0.0094258,              0.0094258
                     61,                0.76532,                0.60009,                  1.234,                0.92276,                0.87031,                0.93199,                0.71174,                0.88739,                 0.5619,                 1.4184,              0.0094159,              0.0094159,              0.0094159
                     62,                0.77188,                0.61658,                 1.2424,                0.88871,                0.88731,                 0.9324,                0.72187,                0.83766,                0.57315,                   1.38,               0.009406,               0.009406,               0.009406
                     63,                0.76381,                0.60915,                  1.236,                0.90758,                0.83277,                0.92725,                0.68567,                0.88693,                0.59254,                  1.447,              0.0093961,              0.0093961,              0.0093961
                     64,                0.75651,                 0.5998,                 1.2275,                0.89789,                0.87219,                0.92336,                0.70416,                0.82619,                0.53857,                 1.3867,              0.0093862,              0.0093862,              0.0093862
                     65,                0.74486,                0.59266,                 1.2122,                0.89111,                0.85272,                0.91392,                0.71422,                0.84613,                0.55792,                 1.4038,              0.0093763,              0.0093763,              0.0093763
                     66,                0.74619,                0.58335,                 1.2145,                0.86423,                0.87856,                0.92344,                0.69186,                 0.8731,                0.57462,                 1.4167,              0.0093664,              0.0093664,              0.0093664
                     67,                0.75468,                0.59465,                 1.2253,                0.90137,                0.88835,                0.93263,                0.72017,                0.88074,                 0.5675,                 1.4102,              0.0093565,              0.0093565,              0.0093565
                     68,                0.75201,                0.59954,                 1.2174,                0.91863,                0.88056,                0.94471,                 0.7449,                 0.8215,                 0.5408,                 1.3642,              0.0093466,              0.0093466,              0.0093466
                     69,                0.75338,                0.60559,                  1.232,                0.91302,                0.84716,                0.93294,                0.71047,                 0.8497,                0.55229,                 1.3941,              0.0093367,              0.0093367,              0.0093367
