                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.60142,                0.50305,                  1.133,                0.94208,                0.90121,                0.95438,                0.75598,                0.79386,                0.46321,                 1.3109,              0.0093961,              0.0093961,              0.0093961
                     64,                0.59346,                0.48949,                 1.1326,                0.91283,                0.91746,                0.94917,                0.75095,                0.83774,                0.47714,                 1.3256,              0.0093862,              0.0093862,              0.0093862
                     65,                0.60292,                0.49594,                 1.1347,                0.92786,                0.88763,                0.94715,                0.73079,                0.83372,                0.47874,                 1.3269,              0.0093763,              0.0093763,              0.0093763
                     66,                0.58552,                0.48547,                  1.123,                0.92698,                 0.9018,                0.94838,                0.73777,                0.82089,                0.48549,                 1.3276,              0.0093664,              0.0093664,              0.0093664
                     67,                0.59704,                0.49134,                 1.1309,                0.92033,                0.91878,                0.95206,                0.77279,                0.79243,                 0.4506,                 1.2962,              0.0093565,              0.0093565,              0.0093565
                     68,                0.59031,                0.48977,                 1.1265,                0.92472,                0.91534,                0.94982,                0.75677,                0.79619,                0.45591,                 1.2892,              0.0093466,              0.0093466,              0.0093466
                     69,                0.58689,                0.48858,                 1.1236,                0.93734,                0.90076,                0.94705,                0.75661,                 0.8111,                0.45373,                 1.3118,              0.0093367,              0.0093367,              0.0093367
                     70,                0.58665,                0.47958,                 1.1242,                0.90012,                0.93653,                0.95691,                0.77003,                0.78667,                0.44072,                 1.2876,              0.0093268,              0.0093268,              0.0093268
                     71,                0.58388,                0.48628,                  1.124,                0.91731,                0.92899,                0.95468,                0.76312,                0.79926,                0.44095,                  1.292,              0.0093169,              0.0093169,              0.0093169
                     72,                0.59168,                0.48738,                 1.1264,                 0.9295,                0.89884,                0.94786,                0.75899,                0.79017,                0.44824,                 1.2913,               0.009307,               0.009307,               0.009307
                     73,                0.58186,                0.48261,                  1.124,                0.94167,                0.90023,                0.95187,                0.77169,                 0.7755,                 0.4401,                 1.2755,              0.0092971,              0.0092971,              0.0092971
                     74,                0.58267,                0.48028,                 1.1243,                0.91955,                 0.9318,                0.95474,                0.77466,                0.77988,                0.42869,                 1.2708,              0.0092872,              0.0092872,              0.0092872
                     75,                0.58212,                0.48683,                 1.1179,                 0.9302,                0.91605,                0.95709,                0.78004,                0.78066,                0.43399,                 1.2785,              0.0092773,              0.0092773,              0.0092773
                     76,                0.57982,                 0.4735,                 1.1153,                0.92482,                0.93432,                0.95647,                0.77376,                0.76748,                0.42723,                 1.2845,              0.0092674,              0.0092674,              0.0092674
                     77,                0.57499,                0.47215,                 1.1201,                0.91922,                0.91928,                0.95009,                0.76399,                0.78405,                 0.4403,                 1.2843,              0.0092575,              0.0092575,              0.0092575
                     78,                0.57081,                0.47179,                 1.1149,                0.92522,                0.92963,                0.95923,                0.78041,                0.75817,                0.42925,                  1.265,              0.0092476,              0.0092476,              0.0092476
                     79,                0.57343,                0.46472,                 1.1148,                0.93246,                0.92341,                0.95991,                0.78433,                0.75004,                0.41723,                 1.2678,              0.0092377,              0.0092377,              0.0092377
                     80,                0.57461,                0.47076,                 1.1151,                0.92016,                0.92033,                0.95423,                0.77227,                0.78849,                0.42824,                 1.2869,              0.0092278,              0.0092278,              0.0092278
                     81,                0.57573,                0.46682,                 1.1167,                0.90037,                0.94814,                0.95834,                0.78332,                0.77642,                0.41705,                 1.2712,              0.0092179,              0.0092179,              0.0092179
                     82,                0.57637,                0.47171,                 1.1193,                  0.943,                0.91951,                0.95945,                0.78477,                0.76177,                0.41376,                 1.2599,               0.009208,               0.009208,               0.009208
                     83,                0.57384,                0.46382,                  1.117,                0.92129,                0.93168,                0.95632,                0.78116,                0.76342,                0.41942,                 1.2631,              0.0091981,              0.0091981,              0.0091981
                     84,                0.56732,                0.46897,                 1.1123,                0.93771,                0.92912,                0.96075,                0.79231,                0.75566,                0.40624,                 1.2514,              0.0091882,              0.0091882,              0.0091882
                     85,                0.56331,                0.46627,                 1.1125,                0.94123,                0.92264,                0.95997,                0.78122,                 0.7672,                0.40931,                 1.2596,              0.0091783,              0.0091783,              0.0091783
                     86,                0.56578,                0.46541,                 1.1071,                0.92727,                0.92938,                0.95995,                0.77191,                0.78033,                0.41121,                 1.2804,              0.0091684,              0.0091684,              0.0091684
                     87,                 0.5703,                0.46822,                 1.1124,                0.93044,                0.92559,                0.95981,                0.78572,                0.74516,                0.40778,                 1.2528,              0.0091585,              0.0091585,              0.0091585
                     88,                0.56514,                0.46175,                 1.1097,                0.92413,                 0.9368,                0.96158,                0.78488,                0.76887,                0.41096,                 1.2707,              0.0091486,              0.0091486,              0.0091486
                     89,                0.57069,                0.45742,                 1.1112,                0.92986,                0.93877,                0.96268,                0.79136,                0.76591,                0.40498,                 1.2662,              0.0091387,              0.0091387,              0.0091387
                     90,                0.56501,                0.45592,                  1.111,                0.93381,                0.93653,                0.96215,                0.78535,                0.76504,                0.40981,                 1.2604,              0.0091288,              0.0091288,              0.0091288
                     91,                0.56242,                0.46188,                 1.1118,                0.93507,                 0.9174,                0.96431,                 0.7941,                0.74398,                 0.3977,                 1.2522,              0.0091189,              0.0091189,              0.0091189
                     92,                0.56192,                0.45569,                 1.1102,                0.93201,                0.94635,                0.96429,                0.79871,                0.73245,                0.39093,                 1.2351,               0.009109,               0.009109,               0.009109
                     93,                0.56548,                0.45609,                 1.1099,                0.93573,                0.92986,                0.96237,                0.79645,                 0.7395,                 0.3943,                 1.2393,              0.0090991,              0.0090991,              0.0090991
                     94,                0.56286,                0.46025,                 1.1048,                0.93844,                0.93431,                 0.9581,                0.79477,                0.74849,                0.39033,                 1.2428,              0.0090892,              0.0090892,              0.0090892
                     95,                0.55474,                0.45451,                 1.1058,                0.92707,                0.93969,                0.95926,                0.79345,                0.74725,                0.39542,                 1.2383,              0.0090793,              0.0090793,              0.0090793
                     96,                0.55372,                0.45007,                 1.1011,                0.93747,                0.94188,                0.96315,                0.79214,                0.74581,                0.38758,                 1.2363,              0.0090694,              0.0090694,              0.0090694
                     97,                0.55814,                0.44641,                 1.1056,                0.92876,                0.93373,                0.96292,                 0.7937,                0.74111,                0.39699,                  1.238,              0.0090595,              0.0090595,              0.0090595
                     98,                0.55231,                0.45329,                 1.1057,                0.93402,                0.93659,                0.96505,                0.79229,                0.73159,                0.39317,                 1.2403,              0.0090496,              0.0090496,              0.0090496
                     99,                0.55292,                 0.4467,                 1.1023,                0.92415,                0.93644,                0.96409,                0.80075,                0.70751,                0.38681,                 1.2301,              0.0090397,              0.0090397,              0.0090397
                    100,                0.55529,                0.45491,                 1.1016,                0.93994,                0.93686,                0.96728,                0.80175,                0.71481,                0.38525,                 1.2359,              0.0090298,              0.0090298,              0.0090298
                    101,                0.55545,                0.44948,                 1.1065,                0.93381,                0.93387,                 0.9671,                0.79251,                0.72222,                0.39129,                  1.242,              0.0090199,              0.0090199,              0.0090199
                    102,                0.55475,                0.45127,                 1.1037,                0.94139,                0.93885,                0.96625,                0.79599,                0.73102,                0.38685,                 1.2393,                0.00901,                0.00901,                0.00901
